\\ec\\c\\2Befehl    |LV|Anzeigetext fuer ?  |Azeigetext fuer H                 Gateway-5
§%§L=>20§%§VFLAG\\3    SELECT|20|Selektion aus UListe|Slektierte Userlisten erstellen            
§%§L=>80§%§GR_3\\3 SEL_FLAGS|80|Selektiere Userliste|Selektierte Userl. mit allen Flags    [user
§%§L=>20\\3      SEND|20|Schreiben           |Nachricht schreiben (Brett o. Post)   [user
§%§L=>90§%§COSYS\\3    SET_AV|90|Areaverwalter setzen|Area-Verwalter der aktuellen Area aendern  
§%§L=>70§%§AV\\3    SET_BV|70|Brettverwalter aend.|Brettverwalter des aktuellen Brettes aender
§%§L=>20\\3 SET_CLEAR|20|Scroll o. ClearSreen|Nach TASTE normal weiter oder Clear Screen?
§%§L=>98§%§SYSOP§%§GR_5\\3SET_CWESTE|98|C-Weste schalten!   |C-Weste Aktivieren (TEXT)             [user
§%§L=>98§%§SYSOP§%§GR_1§%§GR_2§%§GR_3§%§GR_4§%§GR_5§%§VFLAG\\3SET_DWESTE|98|C-Weste schalten!   |C-Weste Aktivieren (OHNE TEXT)        [user
§%§L=>90§%§COSYS\\3    SET_FA|90|Farbe aendern       |Farbe eines Users aendern             [user
§%§L=>98§%§SYSOP§%§GR_5\\3SET_GOTCHA|98|Abschiessen erlaubt?|Gotcha An/Aus                         [user
§%§L=>70§%§AV§%§GR_1\\3   SET_GR1|70|Gruppe 1 aendern    |Gruppenflag 1 fuer User aendern       [user
§%§L=>90§%§COSYS\\3   SET_GR2|90|Gruppe 2 aendern    |Gruppenflag 2 fuer User aendern       [user
§%§L=>90§%§COSYS§%§GR_3\\3   SET_GR3|90|Gruppe 3 aendern    |Gruppenflag 3 fuer User aendern       [user
§%§L=>90§%§COSYS\\3   SET_GR4|90|Gruppe 4 aendern    |Gruppenflag 4 fuer User aendern       [user
§%§L=>98§%§SYSOP§%§GR_1§%§GR_2§%§GR_3§%§GR_4§%§GR_5§%§VFLAG\\3   SET_GR5|98|Gruppe 5 aendern    |Gruppenflag 5 fuer User aendern       [user
§%§L=>90§%§COSYS\\3   SET_LEV|90|Level aendern       |Level fuer anderen User aendern       [user
§%§L=>98§%§SYSOP§%§GR_5§%§VFLAG\\3SET_MSGSPE|98|Set_MSG Sperre      |MSG -Sperr freigeben.                      
§%§L=>90§%§COSYS\\3    SET_RB|90|Rundbrief zulassen  |Rundbrief fuer User freigeben/sperren [user
